Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2023,Madhya Pradesh,Western Region,Mar-24,13594,13594,0,0.00%
India,FY-2023,Maharashtra,Western Region,Mar-24,28795.3435,28735,60.34,0.00%
India,FY-2023,Manipur,North East Region,Mar-24,226,226,0,0.00%
India,FY-2023,Meghalaya,North East Region,Mar-24,398.836,398,0.84,0.00%
India,FY-2023,Mizoram,North East Region,Mar-24,136.204,136,0.2,0.00%
India,FY-2023,NagalAnd,North East Region,Mar-24,158.112,157,1.11,1.00%
India,FY-2023,Odisha,Eastern Region,Mar-24,6138.040829,6138.040829,0,0.00%
India,FY-2023,Puducherry,Southern Region,Mar-24,466.958104,466.958104,0,0.00%
India,FY-2023,Punjab,Northern Region,Mar-24,10112.2,10112.2,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Mar-24,17030,17030,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Mar-24,119.2929989,119.240831,0.05,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Mar-24,19040.622,19040.622,0,0.00%
India,FY-2023,Telangana,Southern Region,Mar-24,15622.0575,15622.0575,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Mar-24,1283,1283,0,0.00%
India,FY-2023,Tripura,North East Region,Mar-24,287.753,287.753,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Mar-24,21243,21243,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Mar-24,2260,2260,0,0.00%
India,FY-2023,West Bengal,Eastern Region,Mar-24,9955.766726,9955.766726,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Feb-24,65,60,5,8.00%
India,FY-2023,Andhra Pradesh,Southern Region,Feb-24,13061,13061,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Feb-24,186.391,186,0.39,0.00%
India,FY-2023,Assam,North East Region,Feb-24,1635.961,1634,1.96,0.00%
India,FY-2023,Bihar,Eastern Region,Feb-24,5115.153589,5106.66376,8.49,0.00%
India,FY-2023,ChAndigarh,Northern Region,Feb-24,304,304,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Feb-24,5819.10365,5813,6.1,0.00%
India,FY-2023,Delhi,Northern Region,Feb-24,5406,5406,0,0.00%
India,FY-2023,Goa,Western Region,Feb-24,749,749,0,0.00%
India,FY-2023,Gujarat,Western Region,Feb-24,21248,21248,0,0.00%
India,FY-2023,Haryana,Northern Region,Feb-24,8868,8868,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Feb-24,2133,2133,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Feb-24,1835.256092,1835.256092,0,0.00%
India,FY-2023,Karnataka,Southern Region,Feb-24,16632.3475,16632.3475,0,0.00%
India,FY-2023,Kerala,Southern Region,Feb-24,4826.8239,4826.8239,0,0.00%
India,FY-2023,Lakshadweep,Southern Region,Feb-24,12.23,12.23,0,0.00%
India,FY-2023,Madhya Pradesh,Western Region,Feb-24,16997.9472,16992,5.95,0.00%
India,FY-2023,Maharashtra,Western Region,Feb-24,28969,28969,0,0.00%
India,FY-2023,Manipur,North East Region,Feb-24,251.929,235,16.93,7.00%
India,FY-2023,Meghalaya,North East Region,Feb-24,399,399,0,0.00%
India,FY-2023,Mizoram,North East Region,Feb-24,155,155,0,0.00%
India,FY-2023,NagalAnd,North East Region,Feb-24,156,156,0,0.00%
India,FY-2023,Odisha,Eastern Region,Feb-24,5393.286701,5388.571701,4.72,0.00%
